Components	Notes	Question	Answer type	Choice1	Choice2	Choice3	Choice4	Answer	qID	DB_id
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate } \int x(3-x^2)^4 \, dx. \)	multi	\(\displaystyle (x/5)(3-x^2)^5 + C \)	\(\displaystyle -(1/10)(3-x^2)^5 + C \)	\(\displaystyle (1/5)(3-x^2)^5 + C \)	\(\displaystyle -(1/5)(3-x^2)^5 + C \)	2	q0111	21
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate } \int \cos^4 x \sin x \, dx. \)	multi	\(\displaystyle -\cos^5 x + C \)	\(\displaystyle (1/5) \cos^5 x + C \)	\(\displaystyle -(1/5) \cos^5 x + C \)	\(\displaystyle (1/5) \cos^5 x \sin x + C \)	3	q0112	22
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the indefinite integral } \int \frac{x}{\sqrt{x+1}}\,dx. \)	multi	\(\displaystyle (2/3)(x+1)^{3/2} - 2(x+1)^{1/2} + C \)	\(\displaystyle (2/3)(x+1)^{3/2} + C \)	\(\displaystyle (2/3)(x+1)^{3/2} + (x+1)^{1/2} + C \)	\(\displaystyle (x+1)^{3/2} - (x+1)^{1/2} + C \)	2	q0113	23
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_0^1 x(x^2 + 1)^4 \, dx. \)	multi	\(\displaystyle 8/5 \)	\(\displaystyle 4/5 \)	\(\displaystyle 31/10 \)	\(\displaystyle 16/5 \)	3	q0114	24
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_1^3 \frac{6x}{3x^2 + 1} \, dx. \)	multi	\(\displaystyle -\ln 7 \)	\(\displaystyle 2 \ln 7 \)	\(\displaystyle (1/2) \ln 7 \)	\(\displaystyle \ln 7 \)	4	q0115	25
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the indefinite integral } \int x(5x^2 + 6)^{1/2} \, dx. \)	multi	\(\displaystyle (2/3) (5x^2 + 6)^{3/2} + C \)	\(\displaystyle (1/15) (5x^2 + 6)^{3/2} + C \)	\(\displaystyle (1/10) (5x^2 + 6)^{3/2} + C \)	\(\displaystyle (x/10)(5x^2 + 6)^{3/2} + C \)	2	q0121	26
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the indefinite integral } \int \frac{\sin x}{\sqrt{1 + \cos x}}\,dx. \)	multi	\(\displaystyle \sin x (1 + \cos x)^{1/2} + C \)	\(\displaystyle (-1/2) (1 + \cos x)^{1/2} + C \)	\(\displaystyle (1 + \cos x)^{1/2} + C \)	\(\displaystyle -2(1 + \cos x)^{1/2} + C \)	4	q0122	27
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the indefinite integral } \int x^3 (x^2 + 1)^6 \, dx. \)	multi	\(\displaystyle x^{16}/16 + C \)	\(\displaystyle \frac{(x^2 + 1)^8}{8} + C \)	\(\displaystyle \frac{(x^2 + 1)^8}{16} - \frac{(x^2 + 1)^7}{14} + C \)	\(\displaystyle \frac{(x^2 + 1)^8}{16} + \frac{(x^2 + 1)^7}{14} + C \)	3	q0123	28
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_0^1 \frac{x^3}{(x^4 + 1)^{1/2}}\,dx. \)	multi	\(\displaystyle (1/2)(2^{1/2} - 1) \)	\(\displaystyle (1/2)(2^{1/2} + 1) \)	\(\displaystyle 2^{1/2} - 1 \)	\(\displaystyle 2^{3/2} + 1 \)	1	q0124	29
136,16	needs integral/derivative components for later steps	\(\displaystyle \text{Evaluate the definite integral } \int_0^1 xe^{-x^2}\,dx. \)	multi	\(\displaystyle 1 + 1/e \)	\(\displaystyle 1/(2e) \)	\(\displaystyle (1/2)(1 - 1/e) \)	\(\displaystyle 2e - 1 \)	3	q0125	30
